player_id,player_name,date_of_birth,nationality,import_status,source_label,source_url,verified_at,notes
80833,Kim Ravaillion,1993-07-26,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kim_Ravaillion,2026-04-17,
80163,Kimberley Smith,1982-06-18,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kimberley_Smith_(netball),2026-04-17,
80298,Kimberly Borger,,,,,,,
1001583,Kimiora Poi,1997-11-01,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Kimiora_Poi,2026-04-18,
80114,Kirby Bentley,1986-05-09,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kirby_Bentley,2026-04-17,
80240,Kirby Heath,,,,,,,
80011,Kirby Mutton,1984-09-17,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kirby_Mutton,2026-04-17,
1015214,Kirsten Dickson,,,,,,,
80008,Kristen Hughes,,,,,,,
1004463,Kristen Oxenford,,,,,,,
993358,Kristiana Manu'a,1997-08-26,,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kristiana_Manu%27a,2026-04-17,
999823,Kristina Brice,1994-07-09,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Kristina_Brice,2026-04-18,
80313,Kristy Guthrie,,,,,,,
1004472,Lara Dunkley,1995-05-31,Australia,local,Wikipedia team page (Queensland Firebirds 2026 squad),https://en.wikipedia.org/wiki/Queensland_Firebirds,2026-04-19,
80306,Lara Welham,,,,,,,
80166,Larrissa Harrison,,,,,,,
80125,Larrissa Willcox,,,,,,,
1019205,Latanya Wilson,2000-11-10,Jamaica,import,Wikipedia team page (Adelaide Thunderbirds 2026 squad),https://en.wikipedia.org/wiki/Adelaide_Thunderbirds,2026-04-19,
1013433,Latika Tombs,,,,,,,
